USERID,YOUR HEIGHT,YOUR WEIGHT,YOUR AGE,HOW WOULD YOU DESCRIBE YOUR ABILITY LEVEL,BRAND TESTED,PRODUCT TESTED,MODEL,LENGTH TESTED,WHERE DID YOU USE THE PRODUCT,WHAT TYPE OF TERRAIN DID YOU SKI? (Check all that apply):,WHAT TYPE OF CONDITIONS DID YOU SKI IT IN,THE SKI FELT,HOW MUCH DID YOU LIKE THE MANEUVERABILITY OF THIS SKI,HOW MANUVARABLE AND STABLE WAS THE SKI,HOW MUCH DID YOU LIKE THE STABILITY OF THIS SKI,HOW DEMANDING OR PUNISHING DID YOU FIND THE SKI TO BE ,RIDE QUALITY / SUSPENSION,THE SKI FELT COMFORTABLE TO ME ON / IN ,HOW WOULD YOU DESCRIBE THE FUN-FACTOR OF THIS SKI,DID YOU FEEL LIKE YOU WERE ON THE CORRECT LENGTH OF THIS SKI,WHAT TYPE OF SKIER DO YOU IMAGINE WILL GET ALONG BEST WITH THIS SKI,HOW MUCH DO YOU LIKE THE LOOKS OF THE PRODUCT,HOW LIKELY ARE YOU TO EITHER BUY OR RECOMMEND THIS PRODUCT,elaborate ON HOW LIKELY ARE YOU TO RECOMMEND OR BUY SKI:,"If so, which products and what about them makes you prefer them",ANYTHING ELSE YOU'D LIKE TO ADD
17,71,170,48,Advanced,Atomic,Skis,Bent Chetler 120,184,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Trees (e.g., trees off of East River Lift)","Firm, off-piste chop or crud, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Well-Balanced, Fun, Confidence inspiring, Playful",Really Liked It. Very impressed.,"Was more stable than I was expecting, Offered a good mix of stability & maneuverability",Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Soft groomers where it felt easy to hold an edge, Trees (e.g., trees off of the East River Lift)",It's among the most fun skis I've ever been on - in this category of skis,"Yes, definitely.",Almost *anyone* who wants to just have fun on the mountain,10,"Probably buying - it suits my style quite well, but so do a few other skis","For a ski that seems to be highly specialized for big powder days, I was very surprised with how easy it was to slash and maneuver, while holding a decent carve on groomers. Very unexpected considering how wide and light this ski is. It inspired a lot of confidence to try tighter tree runs and just go anywhere that looked like untracked snow.","First time on a ski this wide. I did try the 110 version and didn't like it as much. The 120s were much more playful and forgiving, much easier to maneuver.","Very surprised with how much I liked this ski and really appreciate the opportunity to try it out. It performs very differently than it looks, in a good way. Much more versatile that I thought it would be."
18,71,175,36,Expert,Moment,Skis,Deathwish,184,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Trees (e.g., trees off of East River Lift)","Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Stable, Manueverable / Easy to Turn, Fun, Confidence inspiring",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,Above average. Pretty good.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Jarring. Too stiff and harsh. Like riding a rigid mountain bike down a rocky trail.,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.",Almost *anyone* who wants to just have fun on the mountain,6,Might buy,,,
18,71,175,36,Expert,Dynastar,Skis,M-Pro 99,178,Inbounds,"Steeps (e.g., terrain off the High Lift or The North Face t-bar)","Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Demanding / Punishing, Sluggish, Scary",Felt terrible to me. Couldn't wait to get off it.,,"Didn't love it, didn't hate it. No strong impression one way or the other.","I felt like if I made any mistakes, this ski would kick my ass.",Jarring. Too stiff and harsh. Like riding a rigid mountain bike down a rocky trail.,,I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.",Only very physically strong skiers,4,Definitely not buying - just not at all my type of ski,,M-Free 99 was much better for steeps,"The ski always wanted to carve, even when trying to make tight turns in steeps.  It's probably really good on firm snow."
119,66,152,60,Advanced,Volkl,Skis,Deacon,172,Inbounds,Groomers,"Firm, off-piste chop or crud","Intuitive, Easy, Stable","Didn't love it, didn't hate it. No strong impression one way or the other.",Is among the most stable skis I've ever been on,Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Lower-angle, intermediate terrain",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.",Advanced and expert skiers who want an all-mountain ski that excels at carving up groomers,6,Might buy,,No,
19,66,152,60,Advanced,4FRNT,Skis,Sir Francis Bacon,176,Inbounds,"Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow",Manueverable / Easy to Turn,Above average. Pretty good.,Offered a good mix of stability & maneuverability,"Didn't love it, didn't hate it. No strong impression one way or the other.","Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a shorter length, but not sure that shorter would be better.",Only skiers with advanced technique / skills,6,Definitely not buying - just not at all my type of ski,,,
19,66,152,60,Advanced,4FRNT,Skis,Devastator,179,Inbounds,"Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow",Manueverable / Easy to Turn,Above average. Pretty good.,Offered a good mix of stability & maneuverability,Above average. Pretty good.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a shorter length, but not sure that shorter would be better.",Almost *anyone* who wants to just have fun on the mountain,7,Might buy,,,
20,74,190,49,Advanced / Expert,Fischer,Skis,Ranger 108,185,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Stable, Manueverable / Easy to Turn, Forgiving of mistakes, Well-Balanced",Really Liked It. Very impressed.,"Was more stable than I was expecting, Offered a good mix of stability & maneuverability",Really Liked It. Very impressed.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.","Almost *anyone* who wants to just have fun on the mountain, Advanced and expert skiers who want an all-mountain ski that excels at carving up groomers",3,"Probably buying - it suits my style quite well, but so do a few other skis",A lot of options out there in this category that I'd like to also try. ,,
20,74,190,49,Advanced / Expert,Folsom,Skis,Primary 110,184,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Stable, Manueverable / Easy to Turn, Well-Balanced",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,Really Liked It. Very impressed.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.","Almost *anyone* who wants to just have fun on the mountain, Only very physically strong skiers",7,Might buy,,,
21,72,220,34,Advanced / Expert,Dynastar,Skis,M-Free 108,192,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Fun, Confidence inspiring",Absolutely loved how maneuverable it felt. Extremely impressed.,,,"Felt like it was forgiving of mistakes, while also being nicely supportive.",I'm not sure,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",It's among the most fun skis I've ever been on - in this category of skis,"Yes, definitely.",Only skiers with advanced technique / skills,5,Definitely buying - it suits my style of skiing perfectly,It's my favorite 100-110 ski I've ever used in soft conditions,,"I wouldn't recommend this length to someone who is below an advanced level, but I could easily imagine a shorter version working well for a lot of people.  At my height and weight the flex felt just right for the very soft conditions I skied it in.  The suspension and stability aren't things I feel I can intelligently comment on given how soft it was when I was using the ski and how tired I was for much of my time on it (it was plenty stable at the speeds I was skiing, but I felt slow today).  I do, however, feel very strongly it is a really excellent pow ski for tight, steep terrain because it is so maneuverable and very forgiving for how much high end performance it offers in those conditions."
22,68,155,32,Advanced / Expert,Atomic,Skis,Bent 110,172,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Firm, off-piste chop or crud, Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder, Deep untracked powder","Intuitive, Manueverable / Easy to Turn, Fun, Poppy, Playful",Really Liked It. Very impressed.,"Was more stable than I was expecting, Offered a good mix of stability & maneuverability","Didn't love it, didn't hate it. No strong impression one way or the other.",Had me a bit hesitant to open things up and ski faster.,Like a wet noodle - too soft. Lacked support in moguls or at higher speeds.,"Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",It's among the most fun skis I've ever been on - in this category of skis,"I'd like to try a longer length, but not sure that longer would be better.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around, Advanced & expert skiers looking for a really fun, playful ski to trick of jumps and maybe hit the park",9,"Probably buying - it suits my style quite well, but so do a few other skis","I didn't love it at recommended line. It wanted a more centered skier with more lateral pressure than forward pressure.  I also don't ski free style so didn't need the freestyle attributes associated with a more centered mounting point.   However when I moved it back 1.5 cm (4.4cm from true center) my entire impression changed: I was able to drive the skis harder and enjoy confidence in my skiing. Extremely impressive edge grip on steeps and trees.  Low swing weight makes it great for hop turns but also the the rearward mounting position allows me to drive my turns hard all the while keeping the shovels above the snow.    It was great in soft smaller moguls, however, in larger moguls it's light weight showed itself.  It definitely has a speed limit.   In summary I would highly recommend this ski to anyone who prefers to ski tight technical lines and like to pop off things at the same time. ",,If you're a faster skier size up. There's a good amount of rocker 
23,66,120,22,Advanced,LINE,Skis,Pandora,104,Inbounds,"Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Stable, Manueverable / Easy to Turn, Fun, Playful",Above average. Pretty good.,"Was more stable than I was expecting, Offered a good mix of stability & maneuverability",Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around, Advanced and expert skiers who want an all-mountain ski that excels at carving up groomers, Advanced & expert skiers looking for a really fun, playful ski to trick of jumps and maybe hit the park",8,"Probably buying - it suits my style quite well, but so do a few other skis","I felt that ski held up really well when skiing into powder but hitting the hard surface under. The ski was easy to maneuver and get the ""pop"" out of because of a semi lighter weight while also being fairly forgiving when the terrain threw me into a less supportive stance or on my tails. ",I really enjoyed the wndr alpine intention 110. I felt they had a similar lighter weight feel while offering similar stability and support in mixed conditions.,
22,68,155,32,Advanced / Expert,Fischer,Skis,102 FR,177,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Firm, off-piste chop or crud, Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder, Deep untracked powder","Stable, Forgiving of mistakes, Well-Balanced, Boring / Dead, Confidence inspiring",Above average. Pretty good.,Offered a good mix of stability & maneuverability,Above average. Pretty good.,Really balanced all around ,Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Firm moguls, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.","Only skiers with advanced technique / skills, Physically strong and also highly skilled skiers.",7,Highly recommend for a one ski quiver. Wouldn’t recommend it to someone who has multiple skis. ,This is a strange one for me. On one hand it did everything well on the other hand it didn't stand out in anything.  It was a bit boring to me.   If I had a one ski quiver than I would absolutely consider this because I can use it everywhere and ski with confidence. On the other hand if I have a multiple ski quiver then I prefer skis that make an impact on me in some regard.  ,Nordica Enforcer 104 Free.  Similar profile but more lively. The Nordica carves better too. I had to remind myself if 104 under foot! ,I think a more advanced/technical skier would enjoy this 102 the most.   It rewards good technique 
24,74,220,34,Advanced,Icelantic,Skis,Nomad 115,186,Inbounds,"Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar)","Softer, mixed conditions","Manueverable / Easy to Turn, Unstable, Poppy, Playful","Didn't love it, didn't hate it. No strong impression one way or the other.",Offered a below-average mix of stability & maneuverability,Didn't Love it.,Had me a bit hesitant to open things up and ski faster.,Like a wet noodle - too soft. Lacked support in moguls or at higher speeds.,"Soft groomers where it felt easy to hold an edge, Lower-angle, intermediate terrain",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around",7,Not Likely - I didn't click with this ski (feel free to elaborate below),Perfect for the edges of groomer on a fresh snow day. ,Folsom Trophy. More confidence inspiring at speed. Tips stayed the direction I wanted them. ,
24,74,220,34,Advanced,4FRNT,Skis,Devastator 18,180,Inbounds,"Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain","Softer, mixed conditions","Sluggish, Weird / Unpredictable, something felt ""Off"" about the ski",Felt terrible to me. Couldn't wait to get off it.,Offered a below-average mix of stability & maneuverability,"Didn't love it, didn't hate it. No strong impression one way or the other.",Had me a bit hesitant to open things up and ski faster.,I'm not sure,,,"I'd like to try a longer length, but not sure that longer would be better.",,5,,,,I think this ski desperately needed wax. It didn't want to ski. The wax on all the skis was a larger factor than I expected. 
25,68,155,32,Advanced / Expert,Dynastar,Skis,M free 108,182,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Firm, off-piste chop or crud, Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder, Deep untracked powder","Demanding / Punishing, Fun, Poppy",Above average. Pretty good.,Offered a good mix of stability & maneuverability,"Didn't love it, didn't hate it. No strong impression one way or the other.",It felt a bit  heavy and unforgiving  for steeps,Really nice and plush. Absorbed / muted out harsh snow very well.,"Lower-angle, intermediate terrain",I imagine it will resonate with a pretty niche / specific type of skier,"I'd like to try a shorter length, but not sure that shorter would be better.","Only skiers with advanced technique / skills, Physically strong and also highly skilled skiers., Advanced & expert skiers looking for a really fun, playful ski to trick of jumps and maybe hit the park",4,It's too soon to make a recommendation as I need to spend more time with it and at different lengths in variable terrain. My initial through it that it  just felt purposeless to me. It's feels to heavy for techy terrain yet it doesn’t have the suspension quality in chop like the heavier rossi 118. It also has a high swing weight for a ski meant to slarve and pop off things.  ,I may have just demoed these on the wrong  day on the wrong size and at the wrong time (I was really tired at the time) but for some reason I just didn't enjoy this at all. I have this feeling I would enjoy this ski as I get to know it. I'll spend more time with it and get back to you  ,,"Just because something doesn't click day one doesn't mean that  it isn't worth investing time into - to get to the click point.  When I look at the shape, rocker profile, flex pattern  and weight of this ski  I am supposed to like it.  I didn't like it and that confuses me.  I'll need more time with it before having an intellectual opinion "
26,74,220,22,Advanced,WNDR Alpine,Skis,Vital 100,190,Backcountry,"Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Trees (e.g., trees off of East River Lift)",Untracked powder,"Demanding / Punishing, Scary",Didn't Love it,"Offered *too much* stability - the ski felt ""dead"" to me, too planted",Was terrible. Couldn't wait to get off the ski.,"I felt like if I made any mistakes, this ski would kick my ass.",I'm not sure,Low angle open & skin track. ,"Not fun. I didn't really enjoy anything about it, honestly can't imagine who would.","Yes, definitely.",Physically strong and also highly skilled skiers.,8,Would test inbounds. ,Tour was too hardcore. 1700 of gain and then hop down a 37 deg variable snow bowl then right into dense-ish trees. ,G3 seekr 110. Easier to slow down and direct the ski. ,I wish the Vital had a lighter binding than the Kingpin
24,74,220,34,Advanced,Renoun,Skis,Wagner,192,Inbounds,"Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow","Intuitive, Easy, Stable, Manueverable / Easy to Turn, Well-Balanced",Boringly great. Skied WAY shorter when you wanted it to be. ,Offered a phenomenal mix of stability and maneuverability,Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.",Almost *anyone* who wants to just have fun on the mountain,6,I didn't want to like it but it's good. ,I think this ski also had the best wax/tune for the conditions. ,,Would be curious to hear others thoughts. 
24,74,220,34,Advanced,Moment,Skis,Wildcat,184,Inbounds,"Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Stable, Manueverable / Easy to Turn, Forgiving of mistakes, Confidence inspiring",Above average. Pretty good.,Offered a good mix of stability & maneuverability,Above average. Pretty good.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,I definitely should have gone longer. This ski was too short for me.,Almost *anyone* who wants to just have fun on the mountain,9,Might buy,Quite a few almost somersaults. Hoping that was just the length. ,,
27,70,150,21,Intermediate / Advanced,Dynastar,Skis,M free 99s,179,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain","Extremely firm harpdack or ice - where it was very hard to hold an edge, Firm, off-piste chop or crud, Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow","Intuitive, Stable, Manueverable / Easy to Turn, Well-Balanced, Fun, Confidence inspiring, Playful",Absolutely loved how maneuverable it felt. Extremely impressed.,Offered a phenomenal mix of stability and maneuverability,Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal)",It's among the most fun skis I've ever been on - in this category of skis,"Yes, definitely.","Almost *anyone* who wants to just have fun on the mountain, Intermediate skiers looking for a really fun, playful ski that's comfortable all-around, Advanced & expert skiers looking for a really fun, playful ski to trick of jumps and maybe hit the park",10,"Probably buying - it suits my style quite well, but so do a few other skis",,,My favorite ski that I rode on Monday! Best for the conditions. So much fun 
